Show_Title,YouTube Playlist Link,Number of Episodes,Show_Description,Year,URL_Picture,IMDb Rating,Runtime (mins),Title Type
القناص,https://www.youtube.com/watch?v=MqrkSgaibRM&list=PLUKnjMSgTN4ThxsKcERf8tTo0WT8PsePE,70,"تبدأ القصة باكتشاف غون أن والده لا يزال حياً من قبل صياد غريب قدم إلى قريته، فانطلق في رحلة للبحث عن أبيه والحصول على رخصة الصيد عبر دخوله لامتحان الصيادين، متجاوزاً الصعاب العديدة التي كانت تواجهه بمساعدة أصدقائه الذين التقى بهم خلال رحلته.

تتميز القصة بحبكة فريدة من نوعها، وباعتمادها على بعضاً من الأخلاقيات كأساس لها، مثل الشجاعة والصداقة. كذلك، تنقسم القصة إلى عدة أجزاء، كل منها يمثل مرحلة معينة، تتميز باختلافها عن باقي الأجزاء، وبارتباطها معاً في الآن نفسه.",1999.0,https://www.arabic-toons.com/images/anime/cat_1407653461.jpg,8.6,23.0,TV Series
الكابتن ماجد,https://www.youtube.com/playlist?list=PLJpXRPW9OYtEc7ZI21sbXVtaONIg2mnwo,52,مسلسل أنيمي وسلسلة ألعاب يابانية مشهورة، وتحكي قصة البطل ماجد كامل الذي حلم بان يكون فريق كرة قدم منذ طفولته ليصل بهم إلى بطولة كاس العالم، وتركز على شخصية ماجد كامل. وقد صدر ألعاب فلاش الأنمي باللغة العربية وأحدث ضجة لفترة طويلة، ويعد من أفضل الأنميات في مجال الرياضة,1994.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQu-1dECJWHM9NHbo4Fa-1EIkG_xR0gu85HWA&s,7.6,24.0,TV Series
روبن هود,https://www.youtube.com/playlist?list=PL8t6zYIrwskTxpGM-00oq2iw8VIU-W85O,53,تعكس قصص روبن هود الأفكار والعادات والتقاليد التي كانت سائدة في إنجلترا في القرون الوسطى.كان المجتمع الإنجليزي آنذاك يضم فئة قليلة من الأسياد الأثرياء وفئة كبيرة من الفقراء. وثمة فئة الخارجين على القانون. وكل فئة من هذه الفئات لها قيم وعادات خاصة بها. كان روبن هود رجلا خارجاً عن القانون، كان يعيش مع أنصاره في غابات شيروود الملكية، واشتهر بشجاعته وفروسيته وبإسراعه إلى مساعدة المحتاجين ومناصرة المظلومين عندما يكونون في حال خصام مع الأسياد الذين يستخدمون السلطة بطريقة غير عادلة ولا شرعية.,1990.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcREZA8M22cQGvdjiavnxIy6cVSBY0trdqY6zg&s,7.3,24.0,TV Series
الماسة الزرقاء,https://www.youtube.com/playlist?list=PLHyxz_IC2DtItJVTxm8vdMg_BOph4uW6p,39,"ناديا شابة من أصول مجهولة وجين مخترع فرنسي شاب يعيشان في العام 1889 والذي يمثل ذروة الاكتشافات التقنية، ويواجهان خصماً يدعى غارغولين مهووس بإعادة إحياء إمبراطورية أطلانطس الغارقة وفق مخطط شرير يهدف من وراءه للهيمنة على العالم. وبمساعدة جين والنقيب نيمو قائد الغواصة “ناوتيليوس” تكافح ناديا بكل قواها لحماية العالم من شرور غارغولين وإمبراطوريته الجديدة.

الماسة الزرقاء هي عبارة عن ماسة صغيرة، صنعتها الحضارة القديمة لدولة أطلانتس، وتتوارثها الأسرة الحاكمة، هناك اثنتين منها فقط، واحدة عند (رولا)، وأخرى عند أبيها القبطان (عامر)، وهي غامضة جدا وتملك قدرات هائلة، ومهما عرفت عنها، ستظل غامضة، فهي إذا كانت بين كفي (رولا) تضيء عندما يقترب الخطر أو عندما يقترب شخص شرير، وتجعل الإنسان يفهم لغة الحيوانات والعكس، أحيانا تثير طاقة مغناطسية هائلة، وتركيبتها غامضة جدا فعندما وضعها (علاء) تحت المجهر لم يجد إلا مجموعة من المسارات المتشابكة كالمتاهة، ومهما قرب الصورة تبقى المسارات معقدة وغير مفهومة، وأيضا حوافها حادة جدا. كل هذا، والماسة التي عند (عامر) أقوى بكثير من التي عند (رولا)، والفائدة الرئيسية من اجتماع الماستين وتوحيد طاقتهما هي تنشيط برج بابل الذي يعد أقوى قوة تدميرية في العالم، ولهذا السبب كان (مهيب) يريد الحصول على الماستين ليملك هذه القدرة الهائلة فيشغل برج بابل وبذلك يحكم سيطرته على العالم.",1990.0,https://i.ytimg.com/vi/oLk3S-NBWUs/maxresdefault.jpg,7.8,25.0,TV Series
أنا و أخي,https://www.youtube.com/playlist?list=PL8t6zYIrwskR4mwP7T9bttsl5SlyIofZ0,36,يتحدث المسلسل عن ولد اسمه سامي توفيت أمه في حادث مرور وتركت له أخاه الصغير وسيم. والده يعمل موظفا بسيطا لذلك لا يجد الوقت الكافي للعناية بولديه، وهكذا يقوم سامي بترك أشياء كثيرة كان يحبها ليعتني بأخيه الصغير.,1996.0,https://upload.wikimedia.org/wikipedia/ar/4/45/%D8%A3%D9%86%D8%A7_%D9%88%D8%A3%D8%AE%D9%8A.jpg,7.8,30.0,TV Series
ماوكلي,https://www.youtube.com/watch?v=JZIPcbrYUBQ&list=PLvhuGgCxAsqG86mO0IMvaa5ipnV-w0ULJ,49,"وهنا تبدأ مغامرات الصبي ماوكلي حيث بدأ هذا النمر الأسود وصديقه الدب الطيبان بإطعام ماوكلي وتربيته. بمساعدة الذئاب أيضا فقد أخذت عائلة من الذئاب ماوكلي لتربيته بين إخوته الذئاب الصغار.

يكبر الفتى ماوكلي ويصبح غلاماً واعياً لما حوله. ولكثرة ارتباطه بالذئاب والمدة الطويلة التي عاشها معهم أصبح يستطيع التكلم معهم أي أنه يفهم لغتهم (لغة الحيوانات وليس الذئاب فقط) ولا يقتنع بأنه من البشر بل يظن نفسه من الذئاب.

ولكن في يوم احترقت الغابة التي يعيش بها الذئاب وماوكلي وهرب الجميع إلى ناحية النهر فتصدى لهم البَبْر الشرير شيريخان، وكان يريد أخذ الفتى ماوكلي لأنه يكره البشر، فجاء أبو ماوكلي (وهو ذئب) ووقف أمام شريخان يريد محاربته وللأسف استطاع شيريخان هزم الأب وقتله ولم يستطع ماوكلي فعل شيء مع إخوته الذئاب، ومن هنا بدأت كراهية ماوكلي لشيريخان والتفكير بالانتقام منه، ثم يخوض معه قتالاً ويقضي عليه ويثأر لموت أبيه أليكساندر، وفي النهاية يقرر ماوكلي العودة إلى القرية للعيش مع بني جنسه من البشر.",1989.0,https://upload.wikimedia.org/wikipedia/ar/a/a4/%D9%85%D8%A7%D9%88%D9%83%D9%84%D9%8A_%D9%81%D8%AA%D9%89_%D8%A7%D9%84%D8%A3%D8%AF%D8%BA%D8%A7%D9%84.jpg,7.5,,TV Series
النمر المقنع,https://www.youtube.com/playlist?list=PLac6irFIOYhP_bO9rQxyNLQi3Dg3N5Hol,23,"تدور أحداث الجزء المدبلج من المسلسل حول صحفي يتصنع الغباء والحماقة اسمه تامر، والذي انتحل شخصية النمر المقنع الثاني بعدما مات النمر المقنع الأول (والذي سُمي صنديد) في حادث سير عندما ضحى بحياته من أجل إنقاذ طفل صغير، تعهد هذا النمر المقنع الجديد بتخليص حلبة المصارعة من كل الشرور، وقابل في حلقات المسلسل مجموعة من المصارعين من منظمة شريرة تهدف إلى السيطرة على عالم المصارعة تسمى اتحاد مصارعي الفضاء، بعد هزيمة النمر المقنع لمجموعة من المصارعين الأقوياء قابل في الحلقة الأخيرة رئيس المنظمة، والذي يدعى سترونغر، وبعد اعتراف سترونغر بالهزيمة في المباراة النهائية أفصح النمر المقنع للجميع عن هويته الحقيقية، ثم تابع المباراة مع سترونغر الذي أصيب أثناء المباراة بذبحة صدرية توفي على إثرها.

تنتهي السلسلة بزواج تامر (النمر المقنع) بزميلته في العمل ميادة، والتي كانت تحبه على الرغم من أن الجميع يسخر منه، ولكنها الآن ازدادت حباً له بعد أن عرفت بأنه هو نفسه النمر المقنع.",1981.0,https://cdn.arabiccartoon.org/wp-content/uploads/2022/07/arabic-cartoon-%D8%A7%D9%84%D9%86%D9%85%D8%B1-%D8%A7%D9%84%D9%85%D9%82%D9%86%D8%B9-banner.jpg,7.4,23.0,TV Series
الفتى النبيل,https://www.youtube.com/playlist?list=PLy4PR9qtbxzMcCqhDkRoUjw1LN_XAEfot,83,"المسلسل هو في الأصل رواية للمؤلفة الأمريكية فرانسيس هودسون برنيت (بالإنجليزية: Frances Hodgson Burnett)‏ بعنوان «اللورد الصغير فونتلروي» تحكي قصة صبي (سيدريك) الثري ويعيش مع والده وأمه في الولايات المتحدة، يتوفى والده بسبب المرض، عندها يسافر إلى إنكلترا مع والدته إلى قصر جده الثري، ثم يفترق عنها لأن الأم ليست من عائلة نبيلة، وتزوجها والده بدون موافقة الجد.

الكاتبة فرانسيس هودسون برنيت هي نفسها صاحبة رواية «الأميرة الصغيرة» التي أيضا تبنتها شركة نيبون أنيميشن لتصبح مسلسل الأنمي سالي.",1998.0,https://upload.wikimedia.org/wikipedia/ar/7/7f/%D8%A7%D9%84%D9%81%D8%AA%D9%89_%D8%A7%D9%84%D9%86%D8%A8%D9%8A%D9%84.jpg,,45.0,TV Series
سابق و لاحق,https://www.youtube.com/playlist?list=PL-Ot9T_B8cST2IsoSQZvbYaW2aB_cidCf,19,"الأنمي يحكي عن طفلان يحلمان أن يفوزا بلقب العالم في رياضة السيارات. الأول سابق وهو متهور ومغرور ولكنه طيب جداً وفكاهي أيضاً ولديه حماس كبير، والثاني لاحق وهو محترم ومجتهد ومتواضع.

وقد كانا لاعبان مبتدئان حتى التقيا بالدكتور عاقل وقد كان ذكياً ومصنعاً للسيارات الصغيرة وأعجب بهما فدعاهما إلى تجربة سياراته وأعطى لكل واحد منهما سيارته وقد عدلا على الشكل فأصبح لكل منهما سيارة سباق جديدة، الأولى للاحق واسمها سونيك والثانية لسابق وهي ماغنام.

بعدها يلتقيان بشاب يدعى الصاعق صاحب سيارة نوراي داجا وقاما بسباقه فازت سيارته ثم التقيا بنكش وشخص غني له أخت مزعجة. وبعد ذلك التقوا بالطير وكان يومها عدواً لهم ويكرههم لكنه لاحقاً انضم إليهم وكونوا فريق الاتحاد ثم دخل الفريق في البطولة العالمية وفي آخر سباق استطاع سابق أن يحقق لفريقه الفوز على الفرق الثلاثة الأولى وصار هو الفريق الأفضل عالميا ومحليا.",1996.0,https://upload.wikimedia.org/wikipedia/ar/f/f9/%D8%B3%D8%A7%D8%A8%D9%82_%D9%88%D9%84%D8%A7%D8%AD%D9%82.jpeg,7.1,25.0,TV Series
هيرو إنسايد,https://www.youtube.com/playlist?list=PL8I2nc3yN0avpfeo_oEuzG6akKwjzsIDF,11,سوبر سكوت، أقوى شرير في الوجود، عاد بالانتقام. في نهاية الموسم، شاهد مايك ولوسي يواجهان الشرير الخارق بشكل لا يصدق في أكثر معركة مهلكة حتى الآن.,2024.0,https://i.ytimg.com/vi/S_3WJApgiWE/maxresdefault.jpg,,,
أبطال النينجا,https://www.youtube.com/watch?v=3CV7ZMRGnXk&list=PL0OQj_Md8LweIlR9kXOzw6MyUy7RgOAkf,26,تبدأ القصة في إحدى شوارع نيويورك عندما كادت شاحنة تحمل مادة غريبة أن تدهس رجلاً أعمى فركض فتى لينقذه فدفع فتى يحمل أربعة سلاحف، استطاع الرجل أن ينجو لكن سقطت السلاحف مع المادة الغريبة من الشاحنة في مجاري نيويورك، وكان الجرذ سبلتنر قد رأى الحادثة ثم تبع السلاحف إلى المجاري وسرعان ما بدأ تأثير المادة على السلاحف سبلتنر هو جرذ يمتلك ذكاء وصفات مميزة وقد تعلم من أحد مدربي النينجا الأقوياء والذي كان يدعى يوشي الذي قام شردر بقتله أمام سبلتنر، ثم لاحظ سبلتنر نمو أجزاء وأعضاء جسمه وأجسام السلاحف بشكل كبير ثم أستطاعت أجسامهم بفعل المادة الغريبة المشي على قدمين بكل سهولة والتكلم أيضا، ومع نمو السلاحف وكبرهم أتخذوا سبنتلر كأب لهم وقام سبنتلر بتسمية السلاحف بأسماء وجدها في أحد كتب عصر النهضة وسمى كل واحد منهم بالأسماء التالية وهي ليوناردو، رافاييل، مايكل أنجلو، ودوناتيلو، وقام سبنتلر بتعليم السلاحف الأربعة فنون النينجا وفن القتال والدفاع عن النفس، وبالطبع لم يظهر السلاحف على سطح الأرض إلا في الحلقة الأولى عندما تقاتلوا مع عصابة التنين الأرجواني.,2003.0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Teenage_Mutant_Ninja_Turtles_%285234965966%29.jpg/440px-Teenage_Mutant_Ninja_Turtles_%285234965966%29.jpg,7.9,30.0,TV Series
عائلة هابوز,https://www.youtube.com/playlist?list=PLgvDkUBbUAV36L5TzH_ZxEA2TgZS0bHFV,20,عائلة هابوس ليست عائلة عادية بل مجموعة من أفراس النهر. كل أفراس النهر لها شخصية مرحة مختلفة. تعيش هذه الحيوانات في حديقة سفاري، ورغم أنها تتصرف بشكل جيد أثناء النهار وتسمح للزوار بالتقاط صور لها، إلا أنها عندما تغلق الأبواب، تبدأ في خوض مغامرات مضحكة للغاية! إنها لطيفة للغاية، وسعيدة دائمًا وتحب الحفلات. انضم إلى عائلة هابوس لتستمتع بلحظات مرحة مضمونة ومغامرات جديدة كل يوم خميس وسبت.,2017.0,https://cdn6.aptoide.com/imgs/e/f/2/ef2e2fcea33e3cb0f16030dfea5241c5_screen.jpg?w=325,,6.0,Youtube Series
فتيات القوة,https://www.youtube.com/playlist?list=PLOKM5r_ymeqhLTY4-wxU52-zZuqbN2Lmx,31,يركز المسلسل على ثلاث فتيات في سن الروضة، بلوسوم وبابلز وباتركاب، اللاتي يتمتعن بقوى خارقة ويعشن في مدينة تاونسفيل الخيالية. مبدعهن هو العالم **البروفيسور أوتونيوم**، وكثيرًا ما يستدعيهن عمدة المدينة لمحاربة المجرمين والأعداء باستخدام قواهن الخارقة.,1998.0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/%D8%B4%D8%B9%D8%A7%D8%B1_%D9%81%D8%AA%D9%8A%D8%A7%D8%AA_%D8%A7%D9%84%D9%82%D9%88%D8%A9.png/560px-%D8%B4%D8%B9%D8%A7%D8%B1_%D9%81%D8%AA%D9%8A%D8%A7%D8%AA_%D8%A7%D9%84%D9%82%D9%88%D8%A9.png,,20.0,TV Series
ميراكيلوس,https://www.youtube.com/playlist?list=PLeFFnqFa9AVQKaAsbPj5yKuFO57MYsteX,32,تدور القصة حول الفتاة مارينت ذات عمر السادسة عشر عامًا ابنة خبازين متواضعين من ضواحي فرنسا، وإدريان أجريست فتى الإستعراضات ابن «ملك الموضة» جابريال أجريست حيث يتحول كل منهما إلى شخصيته السرية الخفية عن عيون أهل فرنسا لصورتهم العادية عن طريق ما يعرف باسم الميراكولوس وهي جواهر متصلة بكائنات حية تدعى الكوامي، فتتحول مارينت إلى شخصيتها السرية الخارقة الدعسوقة وتأخذ صفات الكوامي الخاص بها تيكي بينما يتحول إدريان إلى شخصيته الخارقة القط الأسود عن طريق الكوامي الخاص به وهو بلاغ لكي يصدوا هجوم هوك موث وهو عدوهم الشرير الذي يحاول سرقة ميراكولوس الدعسوقة والقط الأسود.,2015.0,https://img10.hotstar.com/image/upload/f_auto/sources/r1/cms/prod/2130/1262130-i-46aa8bb88172,,30.0,TV Series
